stock_id,ymonth,max,min,trading_volume,trading_money,trading_turnover,date,close,open,spread
06443P,2015M01,0.02,0.0,100000,2000,2,2016-01-01,0.0,0.0,0.0
06444P,2015M01,4.92,0.0,504000,1434020,72,2016-01-01,2.22,0.0,2.22
06445P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06446P,2015M01,0.09,0.02,1466000,66200,40,2016-01-01,0.02,0.05,-0.06
06447P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06448P,2015M01,5.75,0.0,20000,115000,2,2016-01-01,0.0,0.0,0.0
06449P,2015M01,0.11,0.0,2488000,159880,26,2016-01-01,0.0,0.0,-0.07
06450P,2015M01,1.59,0.0,680000,776800,28,2016-01-01,1.09,0.0,1.09
06451P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06452P,2015M01,3.69,0.0,2000,7380,2,2016-01-01,0.0,3.69,0.0
06453P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06454P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06455P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06456P,2015M01,2.41,1.32,1922000,3369460,192,2016-01-01,2.26,1.33,0.92
06457P,2015M01,3.23,0.0,106000,216200,10,2016-01-01,0.0,0.0,-1.15
06458P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06459P,2015M01,3.48,0.0,148000,505060,16,2016-01-01,3.36,2.75,3.36
06460P,2015M01,1.67,0.0,1998000,2440840,148,2016-01-01,0.91,0.89,0.12
06461P,2015M01,5.5,0.0,6000,32900,6,2016-01-01,5.5,0.0,5.5
06462P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06463P,2015M01,0.04,0.0,1484000,57720,64,2016-01-01,0.0,0.0,0.0
06464P,2015M01,0.24,0.0,2146000,417620,26,2016-01-01,0.0,0.23,0.0
06465P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06466P,2015M01,0.01,0.0,100000,1000,2,2016-01-01,0.0,0.0,0.0
06467P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06468P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06469P,2015M01,0.0,0.0,0,0,0,2016-01-01,0.0,0.0,0.0
06470P,2015M01,2.32,0.0,586000,1071940,76,2016-01-01,0.0,1.41,-1.38
06471P,2015M01,0.49,0.0,3424000,1063720,140,2016-01-01,0.0,0.17,0.0
